Date,Season,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA,home_wins_5,home_draws_5,home_losses_5,away_wins_5,away_draws_5,away_losses_5,goals_scored_5,goals_conceded_5,goal_difference_5,shots_5,shots_conceded_5,shots_on_target_5,shots_on_target_conceded_5,corners_5,corners_conceded_5,fouls_5,fouls_conceded_5,cards_5,cards_conceded_5,dominance_score_5,home_home_wins_5,home_home_draws_5,home_home_losses_5,home_away_wins_5,home_away_draws_5,home_away_losses_5,home_goals_scored_5,home_goals_conceded_5,home_shots_5,home_shots_conceded_5,home_shots_on_target_5,home_shots_on_target_conceded_5,home_corners_5,home_corners_conceded_5,home_fouls_5,home_fouls_conceded_5,home_cards_5,home_cards_conceded_5,home_dominance_score_5,away_home_wins_5,away_home_draws_5,away_home_losses_5,away_away_wins_5,away_away_draws_5,away_away_losses_5,away_goals_scored_5,away_goals_conceded_5,away_shots_5,away_shots_conceded_5,away_shots_on_target_5,away_shots_on_target_conceded_5,away_corners_5,away_corners_conceded_5,away_fouls_5,away_fouls_conceded_5,away_cards_5,away_cards_conceded_5,away_dominance_score_5,goal_diff_advantage,dominance_advantage,form_advantage,avg_home_odds,avg_draw_odds,avg_away_odds
2023-10-08,2324,Arsenal,Man City,H,1,0,0,0,12,4,2,1,8,7,5,4,2,3,0,0,2.9,3.3,2.4,2.85,3.5,2.4,2.85,3.45,2.45,2.99,3.49,2.46,2.75,3.6,2.4,2.88,3.4,2.38,3.05,3.66,2.51,2.7199999999999993,3.368,2.3825,1.75,2.05,1.79,2.1,1.85,2.16,1.78,2.05,0.25,1.79,2.11,1.81,2.12,1.83,2.13,1.79,2.07,2.9,3.3,2.45,2.95,3.2,2.45,2.9,3.25,2.5,3.0,3.39,2.56,2.9,3.25,2.45,3.0,3.25,2.45,3.31,3.41,2.6,3.0,3.3,2.5,2.08,1.82,2.05,1.86,2.13,2.04,2.03,1.82,0.25,1.73,2.08,1.78,2.17,1.85,2.23,1.76,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.7199999999999993,3.368,2.3825
2023-10-21,2324,Man City,Brighton,H,2,1,2,0,10,5,6,3,9,11,2,2,2,2,1,0,1.4,5.25,6.5,1.41,5.25,6.5,1.43,5.5,6.5,1.42,5.45,6.93,1.4,5.5,6.5,1.36,5.25,7.0,1.46,5.7,7.3,1.4666666666666668,5.519,6.302500000000001,1.36,3.1,1.39,3.13,1.41,3.2,1.37,3.09,-1.25,1.87,2.06,1.88,2.02,1.9,2.08,1.84,2.02,1.36,6.0,6.5,1.36,5.5,7.0,1.37,5.5,7.25,1.36,5.69,7.74,1.3,5.8,8.5,1.33,5.5,8.5,1.4,6.2,8.5,1.36,5.74,7.8,1.33,3.4,1.38,3.19,1.43,3.4,1.38,3.1,-1.5,2.03,1.9,2.03,1.9,2.04,1.98,1.95,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,4.0,12.0,1.0,2.0,4.0,5.0,7.0,8.0,3.0,2.0,-7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,12.0,1.0,2.0,4.0,5.0,7.0,8.0,3.0,2.0,-7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,12.0,1.0,2.0,4.0,5.0,7.0,8.0,3.0,2.0,-7.5,0,0.0,0.0,1.4666666666666668,5.519,6.302500000000001
2023-10-29,2324,Man United,Man City,A,0,3,0,1,7,21,3,10,9,4,7,12,4,1,0,0,5.0,3.8,1.67,4.75,4.0,1.68,4.9,4.0,1.67,5.16,4.07,1.69,4.8,4.0,1.65,5.0,3.9,1.65,5.3,4.22,1.74,4.710833333333333,4.077000000000001,1.6783333333333335,1.7,2.1,1.75,2.15,1.79,2.2,1.73,2.15,0.75,2.06,1.87,2.03,1.88,2.07,1.91,2.0,1.85,5.5,4.2,1.57,5.25,4.1,1.61,5.25,4.2,1.6,5.6,4.3,1.61,5.5,4.2,1.57,6.0,4.2,1.55,6.0,4.55,1.73,5.48,4.25,1.62,1.65,2.2,1.7,2.26,1.74,2.4,1.68,2.23,1.0,1.91,2.02,1.88,2.05,1.97,2.12,1.86,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,14.0,17.0,7.0,5.0,6.0,7.0,16.0,19.0,6.0,4.0,-1.5,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,17.0,7.0,5.0,6.0,7.0,16.0,19.0,6.0,4.0,-1.5,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,17.0,7.0,5.0,6.0,7.0,16.0,19.0,6.0,4.0,-1.5,0,0.0,0.0,4.710833333333333,4.077000000000001,1.6783333333333335
2023-10-29,2324,Man United,Man City,A,0,3,0,1,7,21,3,10,9,4,7,12,4,1,0,0,5.0,3.8,1.67,4.75,4.0,1.68,4.9,4.0,1.67,5.16,4.07,1.69,4.8,4.0,1.65,5.0,3.9,1.65,5.3,4.22,1.74,4.710833333333333,4.077000000000001,1.6783333333333335,1.7,2.1,1.75,2.15,1.79,2.2,1.73,2.15,0.75,2.06,1.87,2.03,1.88,2.07,1.91,2.0,1.85,5.5,4.2,1.57,5.25,4.1,1.61,5.25,4.2,1.6,5.6,4.3,1.61,5.5,4.2,1.57,6.0,4.2,1.55,6.0,4.55,1.73,5.48,4.25,1.62,1.65,2.2,1.7,2.26,1.74,2.4,1.68,2.23,1.0,1.91,2.02,1.88,2.05,1.97,2.12,1.86,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,35.0,24.0,17.0,8.0,18.0,14.0,20.0,28.0,7.0,8.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,35.0,24.0,17.0,8.0,18.0,14.0,20.0,28.0,7.0,8.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,35.0,24.0,17.0,8.0,18.0,14.0,20.0,28.0,7.0,8.0,15.0,0,0.0,0.0,4.710833333333333,4.077000000000001,1.6783333333333335
2023-11-04,2324,Man City,Bournemouth,H,6,1,3,0,21,5,8,1,8,9,12,1,0,1,0,0,1.1,11.0,19.0,1.1,11.5,21.0,1.1,10.0,22.0,1.08,12.84,29.22,1.06,10.0,26.0,1.07,10.5,29.0,1.11,14.0,34.0,1.2141666666666666,11.284,21.1525,1.29,3.6,1.32,3.51,1.33,3.7,1.3,3.53,-2.5,1.89,2.04,1.86,2.03,1.91,2.06,1.86,2.01,1.09,11.0,21.0,1.1,11.5,21.0,1.1,11.0,20.0,1.09,11.5,28.5,1.06,11.0,26.0,1.07,12.0,29.0,1.11,14.0,32.0,1.1,11.54,26.43,1.3,3.5,1.32,3.58,1.35,3.75,1.31,3.51,-2.5,1.86,2.07,1.88,2.05,1.91,2.17,1.85,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,6.0,56.0,31.0,27.0,11.0,30.0,21.0,24.0,37.0,8.0,12.0,31.5,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,56.0,31.0,27.0,11.0,30.0,21.0,24.0,37.0,8.0,12.0,31.5,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,56.0,31.0,27.0,11.0,30.0,21.0,24.0,37.0,8.0,12.0,31.5,0,0.0,0.0,1.2141666666666666,11.284,21.1525
2023-11-12,2324,Chelsea,Man City,D,4,4,2,2,17,15,9,10,12,15,3,3,5,3,0,0,5.0,3.7,1.73,4.8,3.7,1.73,4.9,3.8,1.73,4.92,3.8,1.75,4.8,3.7,1.67,4.8,3.75,1.7,5.4,3.98,1.78,4.286666666666666,3.775,1.7666666666666666,1.88,2.02,1.88,2.01,1.94,2.08,1.84,2.0,0.75,1.94,1.96,1.92,1.98,1.97,2.01,1.92,1.93,4.75,3.75,1.73,4.4,3.8,1.77,4.7,3.8,1.73,4.8,4.0,1.76,4.5,3.75,1.7,4.8,3.8,1.73,5.41,4.2,1.83,4.65,3.92,1.77,1.83,2.07,1.85,2.06,1.87,2.13,1.81,2.05,0.75,1.93,1.97,1.93,1.99,2.02,2.08,1.89,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,14.0,3.0,11.0,77.0,36.0,35.0,12.0,42.0,22.0,32.0,46.0,8.0,13.0,48.0,2.0,0.0,0.0,2.0,0.0,1.0,14.0,3.0,77.0,36.0,35.0,12.0,42.0,22.0,32.0,46.0,8.0,13.0,48.0,2.0,0.0,0.0,2.0,0.0,1.0,14.0,3.0,77.0,36.0,35.0,12.0,42.0,22.0,32.0,46.0,8.0,13.0,48.0,0,0.0,0.0,4.286666666666666,3.775,1.7666666666666666
2023-11-25,2324,Man City,Liverpool,D,1,1,1,0,16,8,5,3,9,11,9,6,1,3,0,0,1.73,4.2,4.2,1.72,4.2,4.2,1.75,4.2,4.1,1.75,4.37,4.24,1.65,4.33,4.2,1.7,4.0,4.4,1.8,4.5,4.51,1.735833333333333,4.232000000000001,3.9725,1.48,2.6,1.53,2.59,1.53,2.75,1.5,2.62,-0.75,1.97,1.96,1.95,1.95,2.01,2.0,1.92,1.94,1.7,4.2,4.33,1.71,4.2,4.33,1.7,4.2,4.4,1.7,4.42,4.61,1.65,4.2,4.4,1.67,4.2,4.75,1.83,4.6,4.9,1.71,4.31,4.54,1.48,2.6,1.5,2.71,1.58,2.79,1.49,2.61,-0.75,1.88,2.05,1.88,2.04,1.97,2.06,1.87,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,18.0,6.0,12.0,88.0,41.0,44.0,19.0,41.0,20.0,40.0,50.0,8.0,16.0,52.0,2.0,0.0,0.0,2.0,1.0,0.0,18.0,6.0,88.0,41.0,44.0,19.0,41.0,20.0,40.0,50.0,8.0,16.0,52.0,2.0,0.0,0.0,2.0,1.0,0.0,18.0,6.0,88.0,41.0,44.0,19.0,41.0,20.0,40.0,50.0,8.0,16.0,52.0,0,0.0,0.0,1.735833333333333,4.232000000000001,3.9725
2023-12-03,2324,Man City,Tottenham,D,3,3,2,1,18,8,4,4,14,14,10,8,4,4,0,0,1.29,6.0,9.0,1.3,6.0,8.75,1.3,6.25,8.75,1.27,6.42,9.75,1.25,6.0,9.0,1.25,6.0,9.5,1.34,6.5,10.5,1.3841666666666665,6.477000000000001,8.542499999999999,1.36,3.1,1.36,3.22,1.38,3.33,1.36,3.14,-1.75,1.99,1.94,1.92,1.97,2.03,2.0,1.95,1.9,1.25,6.5,10.0,1.25,6.75,10.0,1.27,6.25,9.5,1.23,7.6,10.75,1.2,6.5,11.0,1.22,7.0,11.0,1.29,7.6,11.5,1.25,6.97,10.56,1.29,3.6,1.32,3.52,1.35,3.65,1.32,3.47,-2.0,2.11,1.82,2.07,1.82,2.12,1.89,2.06,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,17.0,6.0,11.0,94.0,44.0,43.0,19.0,48.0,24.0,40.0,50.0,6.0,17.0,55.0,1.0,1.0,0.0,2.0,1.0,0.0,17.0,6.0,94.0,44.0,43.0,19.0,48.0,24.0,40.0,50.0,6.0,17.0,55.0,1.0,1.0,0.0,2.0,1.0,0.0,17.0,6.0,94.0,44.0,43.0,19.0,48.0,24.0,40.0,50.0,6.0,17.0,55.0,0,0.0,0.0,1.3841666666666665,6.477000000000001,8.542499999999999
2023-12-06,2324,Aston Villa,Man City,H,1,0,0,0,22,2,7,2,13,13,6,0,2,2,0,0,4.75,4.2,1.7,4.2,4.2,1.73,4.7,4.1,1.7,4.35,4.29,1.75,4.2,4.2,1.67,4.4,4.0,1.7,4.9,4.45,1.78,4.201666666666667,4.192,1.7274999999999998,1.53,2.4,1.55,2.57,1.55,2.63,1.51,2.57,0.75,1.98,1.92,1.95,1.95,2.0,1.97,1.94,1.9,5.0,4.2,1.62,5.0,4.1,1.65,5.25,4.1,1.63,5.12,4.33,1.64,4.6,4.2,1.62,5.0,4.2,1.65,5.74,4.5,1.73,5.19,4.25,1.65,1.62,2.25,1.66,2.29,1.72,2.44,1.65,2.29,1.0,1.82,2.08,1.85,2.1,1.9,2.16,1.82,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,17.0,9.0,8.0,91.0,45.0,37.0,20.0,46.0,25.0,50.0,55.0,9.0,17.0,48.5,1.0,2.0,0.0,1.0,1.0,0.0,17.0,9.0,91.0,45.0,37.0,20.0,46.0,25.0,50.0,55.0,9.0,17.0,48.5,1.0,2.0,0.0,1.0,1.0,0.0,17.0,9.0,91.0,45.0,37.0,20.0,46.0,25.0,50.0,55.0,9.0,17.0,48.5,0,0.0,0.0,4.201666666666667,4.192,1.7274999999999998
2023-12-10,2324,Luton,Man City,A,1,2,1,0,4,18,2,6,16,6,6,3,2,1,0,0,17.0,8.0,1.14,16.0,8.5,1.16,17.0,8.5,1.15,18.31,10.09,1.13,19.0,8.0,1.11,19.0,8.0,1.11,22.0,11.0,1.17,14.0525,8.064,1.2908333333333333,1.36,3.1,1.38,3.1,1.43,3.1,1.38,2.99,2.25,1.95,1.95,1.95,1.93,1.99,2.02,1.9,1.95,13.0,7.5,1.18,14.5,7.25,1.19,14.0,7.25,1.2,16.0,7.8,1.18,15.0,8.0,1.14,17.0,7.5,1.17,17.5,8.0,1.22,15.25,7.38,1.19,1.53,2.4,1.56,2.52,1.62,2.58,1.55,2.47,2.0,1.87,2.03,1.87,2.04,1.92,2.07,1.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,14.0,10.0,4.0,72.0,60.0,29.0,24.0,34.0,24.0,59.0,59.0,10.0,15.0,12.0,1.0,2.0,0.0,0.0,1.0,1.0,14.0,10.0,72.0,60.0,29.0,24.0,34.0,24.0,59.0,59.0,10.0,15.0,12.0,1.0,2.0,0.0,0.0,1.0,1.0,14.0,10.0,72.0,60.0,29.0,24.0,34.0,24.0,59.0,59.0,10.0,15.0,12.0,0,0.0,0.0,14.0525,8.064,1.2908333333333333
